price,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
2250,Betonarme,75,90,2+1,0 (Yeni),8,10,Merkezi (Pay Ölçer),200,2250,1,1,Hayır,Boş,Kağıthane
1200,Betonarme,100,120,2+1,20 Ve Üzeri,4,4,Kombi Doğalgaz,235,1200,1,2,Evet,Boş,Pendik
2500,Betonarme,80,101,2+1,1-4,11,15,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Esenyurt
1800,Betonarme,80,85,2+1,20 Ve Üzeri,1,4,Merkezi Doğalgaz,0,1800,1,1,Hayır,Boş,Üsküdar
1650,Betonarme,70,80,2+1,1-4,0,7,Kombi Doğalgaz,70,1650,1,1,Hayır,Boş,Ümraniye
3200,Betonarme,40,50,1+1,1-4,17,33,Merkezi (Pay Ölçer),500,6400,1,1,Evet,Eşyalı,Ataşehir
1550,Betonarme,60,65,1+1,5-10,0,3,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Küçükçekmece
2200,Betonarme,83,117,2+1,1-4,3,7,Merkezi (Pay Ölçer),350,4400,2,2,Evet,Eşyalı,Pendik
1100,Betonarme,47,70,1+1,5-10,4,8,Kombi Doğalgaz,300,1100,1,1,Hayır,Boş,Pendik
950,Betonarme,65,75,1+1,0 (Yeni),1,5,Kombi Doğalgaz,0,950,1,1,Hayır,Boş,Çekmeköy
1900,Betonarme,90,110,3+1,20 Ve Üzeri,2,4,Kombi Doğalgaz,50,1900,1,1,Hayır,Boş,Maltepe
1850,Betonarme,45,60,1+1,1-4,12,16,Merkezi (Pay Ölçer),350,1850,1,1,Hayır,Boş,Kağıthane
1750,Betonarme,75,80,2+1,20 Ve Üzeri,4,5,Kombi Doğalgaz,25,1750,1,1,Hayır,Eşyalı,Üsküdar
2500,Betonarme,82,90,2+1,1-4,0,4,Kombi Doğalgaz,0,5000,2,1,Hayır,Boş,Bahçelievler
1300,Betonarme,80,100,2+1,5-10,0,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Pendik
1500,Betonarme,55,65,1+1,20 Ve Üzeri,0,4,Kombi Doğalgaz,0,1500,1,1,Hayır,Boş,Üsküdar
1200,Betonarme,40,45,1+1,5-10,2,3,Kombi Doğalgaz,20,1200,1,1,Hayır,Boş,Ataşehir
2100,Betonarme,80,85,2+1,20 Ve Üzeri,1,5,Kombi Doğalgaz,0,2100,1,1,Hayır,Boş,Fatih
2900,Betonarme,140,145,3+1,11-20,5,7,Kombi Doğalgaz,50,2900,2,1,Hayır,Boş,Sarıyer
3100,Betonarme,90,100,3+1,5-10,3,4,Kombi Doğalgaz,0,3100,1,1,Hayır,Boş,Fatih
1600,Betonarme,65,70,1+1,20 Ve Üzeri,1,5,Kombi Doğalgaz,0,1600,1,1,Hayır,Boş,Fatih
900,Betonarme,85,90,2+1,11-20,4,4,Kombi Doğalgaz,20,900,1,1,Hayır,Boş,Pendik
1400,Betonarme,115,120,3+1,20 Ve Üzeri,3,4,Kombi Doğalgaz,0,1400,1,2,Hayır,Boş,Bahçelievler
1550,Betonarme,90,110,2+1,0 (Yeni),2,9,Merkezi (Pay Ölçer),350,3000,2,2,Hayır,Boş,Pendik
1250,Betonarme,100,105,3+1,11-20,2,2,Kombi Doğalgaz,0,1250,1,1,Hayır,Boş,Gaziosmanpaşa
3550,Betonarme,60,75,2+1,1-4,1,10,Kombi Doğalgaz,80,3550,1,1,Hayır,Boş,Kadıköy
3000,Betonarme,110,125,3+1,11-20,2,5,Kombi Doğalgaz,0,3000,1,2,Hayır,Boş,Şişli
3300,Betonarme,115,130,3+1,20 Ve Üzeri,9,10,Merkezi Doğalgaz,300,4800,1,1,Hayır,Boş,Kadıköy
2500,Betonarme,130,145,3+1,11-20,3,4,Kombi Doğalgaz,0,0,2,2,Hayır,Boş,Kartal
1500,Betonarme,70,75,2+1,20 Ve Üzeri,2,3,Kombi Doğalgaz,0,1500,1,1,Hayır,Boş,Fatih
3450,Betonarme,100,125,3+1,1-4,16,16,Merkezi (Pay Ölçer),0,0,1,2,Evet,Boş,Kağıthane
3150,Betonarme,90,135,2+1,1-4,16,27,Merkezi (Pay Ölçer),0,0,2,1,Hayır,Boş,Başakşehir
2500,Betonarme,115,130,3+1,20 Ve Üzeri,4,4,Kombi Doğalgaz,0,2500,1,2,Hayır,Boş,Üsküdar
3750,Betonarme,80,90,2+1,20 Ve Üzeri,1,4,Merkezi Doğalgaz,0,0,1,1,Hayır,Boş,Kadıköy
2350,Betonarme,90,105,2+1,0 (Yeni),15,20,Merkezi (Pay Ölçer),340,4700,2,2,Hayır,Boş,Kartal
2850,Betonarme,140,150,3+1,11-20,2,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Beyoğlu
3500,Betonarme,100,110,2+1,5-10,2,9,Merkezi (Pay Ölçer),280,3500,1,1,Hayır,Eşyalı,Esenyurt
2500,Betonarme,105,120,2+1,5-10,7,9,Merkezi (Pay Ölçer),280,5000,1,1,Hayır,Boş,Esenyurt
